name,price,delivery_price,rating,seller,seller_rating,delivery_rating,stock
Pampers Diapers Baby Pants - XXL 42 pcs,"Rs. 1,844",Rs. 125,4.5,Procter & Gamble (P&G),94%,100%,11
Ultima Marvel 16W RMS Bluetooth Speaker with Ultima Supreme Sound | 12Hours Playtime | 50MM Driver Size | Surround Sound | Dynamic RGB LED Lights | IPX5 Rated speaker,"Rs. 2,799",Rs. 70,4.7,Ultima Lifestyle,87%,Not enough data,15
Pampers Diapers Baby Pants - Large 64 pcs,"Rs. 1,844",Rs. 125,4.7,Procter & Gamble (P&G),94%,100%,9
Keratin Almond Hair Treatment Cream 1000ml,Rs. 279,Rs. 70,4.7,LS Mall,90%,96%,15
Spn'S 6Mm Thick Double Color Anti-Slip Tpe Yoga Mat | Eco Friendly Lightweight Waterproof & Antiskid Yoga Mat,"Rs. 1,449",Rs. 70,4.7,SPN'S,91%,99%,9
Cetaphil Gentle Skin Cleanser - 500 ml,"Rs. 1,756",Rs. 70,4.7,Cetaphil,92%,33%,15
MuscleBlaze CREAPRO Creatine Monohydrate 250g 83 Servings Creapure Micronized Powder for Muscle and Strength Gain,"Rs. 2,600",Rs. 70,4.7,MuscleBlaze,92%,93%,9
"Laptop Cooling Pad 4 Fans Adjustable 10 Inch to 17 Inch Notebook Cooler, Blue Light, S18 For Any Laptop Speed Control Button","Rs. 1,802",Rs. 70,4.0,AB Tech,80%,100%,15
Resistance Pull Up Bands  Pull Up Assist Band,"Rs. 1,199",Rs. 70,4.0,SAM Prolife Nutrition Nepal,87%,99%,9
Technic Mega Matte  Blush,Rs. 645,Rs. 70,4.0,Technic,92%,100%,9
Pei Meii Vitamin C Serum 30 ml,Rs. 159,Rs. 70,5.0,Awesome Cosmetic,,100%,15
Nautica Voyage EDT For Men - 100ml,"Rs. 3,300",Rs. 120,5.0,Narayanghat Cosmetic,88%,Not enough data,15
Walnut Kernels (Guddhi) 500gm,Rs. 725,Rs. 50,5.0,Merokishan,88%,100%,15
UNO The Classic Playing Card Game,Rs. 145,Rs. 70,5.0,Sansa Store,78%,98%,15
Square Vintage Korean Tortoise Printed Frame Trendy Sunglasses for Men ( Case Not Included ),Rs. 142,Rs. 70,5.0,First Looks,,Not enough data,15
Sport Inner Compression Round Neck T-shirt Inner Men Compression Full Sleeve,Rs. 465,Rs. 70,5.0,Aryan Emporium,,97%,15
"Rechargeable 2 In 1 Flawless Facial And Eyebrow hair Remover trimmer , Painless Eyebrow Removal Shaver With LED Light",Rs. 419,Rs. 70,4.5,Big Box,76%,100%,15
RC Ultra Pods Bluetooth 5.3 Earbuds Stereo Touch Control With Flash Light,Rs. 615,Rs. 70,4.5,New RC Store,76%,100%,12
Black Solid Chest Guard For Bike Riding,Rs. 226,Rs. 70,4.5,Shirsha Online,80%,98%,15
Soft Newborn Baby Wrap Blankets,Rs. 899,Rs. 70,4.3,Royal fitness,80%,95%,15
Portable Manual Car Fuel Pump for Petrol Diesel Oil Liquid Water Fish Tank,Rs. 439,Rs. 70,4.3,BfYmYB9v,80%,98%,13
MumBuds American Ultrathin Baby Diapers Small 48 Pcs,"Rs. 1,065",Rs. 70,4.3,MumBuds USA,,Not enough data,12
Borren Profssional Hair Dryer BR 2031 (Black) 3000W BOS,Rs. 860,Rs. 70,4.3,Happy Shopping,84%,100%,15
Full Sleeve Baseball T-Shirt For Women,Rs. 589,Rs. 70,4.3,Tailor Stitch,83%,97%,9
Imxia F 5% Solution Minoxidil And Finasteride 60ml,"Rs. 1,250",Rs. 70,4.3,Mayrush Pharmacy 07,94%,100%,15
Black Square Rimless Sunglasses For Men |Black Casual Sunglasses For Men | Fashion Accessory For Men,Rs. 807,Rs. 70,4.5,Online Express Fast Nepal Pvt.ltd.,82%,100%,1
Cetaphil Face Wash Gentle Skin Cleanser 125 ml,Rs. 607,Rs. 70,4.5,Cetaphil,92%,33%,15
Chrome Plated Portable Outdoor Steel Collapsible Barbeque Grill - Portable Stainless Steel Barbeque Grill Stand |,Rs. 869,Rs. 70,4.5,PR mart,86%,100%,15
Dr jk1 Sunscreen Lotion Spf 50+/+++ 200 ml,Rs. 820,Rs. 70,No rating,Secret Island,91%,92%,15
Dove Intense Repair Shampoo 625 ml + Conditioner 180ml (Combo Pack),Rs. 700,Rs. 70,5.0,Unilever,92%,Not enough data,15
Airpods Pro2 Support Wireless Charging 18Hours Standby Backup True Wireless Free Silicon Case With Hanging Rope Best Quality Premium,"Rs. 2,199",Rs. 70,5.0,Benefits Online Store,83%,99%,15
2 Liter Water Bottle With Straw Portable Travel Bottles Fitness Motivational Big Gym Bottle,Rs. 480,Rs. 70,5.0,7Rings,85%,99%,15
Dr jk4 Vitamin C Collagen Sunscreen SPF 50+/+++200ml,Rs. 980,Rs. 70,5.0,Secret Island,91%,92%,15
Chemist At Play Under Arm Roll On - Fragrance Free - 40ML (5% AHAs + Vitamin C),Rs. 441,Rs. 70,5.0,Chemist At Play,92%,94%,15
Extra Pure Gluta White Soap by Zuwa Cosmetics Lightening | Whitens | Anti - Ageing | Anti Inflammatory - 135 gm,Rs. 250,Rs. 70,5.0,Allure Cosmetics,87%,96%,15
MumBuds American UltraThin Baby Pants Large 40Pcs​​,"Rs. 1,065",Rs. 70,4.8,MumBuds USA,,Not enough data,7
"3D Decor Crystal Ball | Night Light Starry Lamp | LED Night Light | Best For Room, Kids Room, Living room | Soothing light",Rs. 389,Rs. 70,4.8,Crazy NepDeals,91%,100%,8
"Wishcare Hair Growth Serum Concentrate - Redensyl, Anagain, Caffeine, Biotin, Keratin & Rice Water 30ml","Rs. 1,599",Rs. 70,0,WishCare,,100%,12
Kingyes Painless Hair Remover Spray Foam 150 Ml For Unisex (Remove All Types Of Hair),Rs. 297,Rs. 70,0,LS Mall,90%,96%,15
